,Pos.,País,Club,Temp.,Pts.,PJ,PG,PE,PP,Rdm.,Tít.,Sub.
0,2,,F. C. Barcelona[3],25,370,260,154,62,44,66.4 %,4,1
1,1,,Real Madrid[4],25,372,270,160,52,58,65.6 %,8,0
2,3,,Bayern Múnich[5],24,345,255,146,53,56,61.6 %,3,3
3,4,,Manchester United[6],23,296,227,120,56,51,61.7 %,3,2
4,5,,Juventus F. C.[7],21,252,201,100,52,49,55.8 %,1,5
5,6,,Chelsea F. C.[8],17,212,167,82,48,37,59.5 %,2,1
6,7,,F. C. Porto[9],24,210,191,82,46,63,50.4 %,1,0
7,8,,Arsenal F. C.[10],19,207,177,83,41,53,54.4 %,0,1
8,9,,A. C. Milan[11],17,197,165,74,49,42,54.7 %,3,3
9,10,,Liverpool F. C.[12],9,218,125,62,32,31,55.3 %,2,2
10,11,,Olympique de Lyon[13],13,210,136,58,36,42,53.2 %,0,0
11,12,,París Saint-Germain[14],8,204,112,61,21,30,59.5 %,0,1
12,13,,Borussia Dortmund[15],10,202,90,44,19,27,55.9 %,1,1
13,14,,F. C. Internazionale[16],11,193,105,50,26,29,55.9 %,1,0
14,15,,Ajax Àmsterdam[17],13,181,102,39,28,35,47.4 %,1,1
15,16,,Valencia C. F.[18],10,176,98,43,28,27,53.4 %,0,2
16,17,,Atlético de Madrid[19],6,169,62,30,19,13,57.5 %,0,2
17,18,,Olympiakós[20],17,142,110,38,20,52,40.6 %,0,0
18,19,,Manchester City[21],5,138,40,16,9,15,47.5 %,0,0
19,20,,S. L. Benfica[22],11,136,80,30,21,29,46.3 %,0,0
20,21,,A. S. Roma[23],9,133,79,26,23,30,42.6 %,0,0
21,22,,PSV Eindhoven[24],14,133,98,33,21,44,40.8 %,0,0
22,23,,Bayer Leverkusen[25],10,131,87,32,18,37,43.7 %,0,1
23,24,,Shakhtar Donetsk[26],11,122,74,26,13,35,40.1 %,0,0
24,25,,Dynamo de Kiev[27],15,121,103,28,25,50,35.3 %,0,0
25,26,,Galatasaray S. K.[28],14,121,104,27,26,51,34.3 %,0,0
26,27,,A. S. Mónaco[29],6,113,54,24,11,19,51.2 %,0,1
27,28,,Panathinaikos[30],9,87,74,23,18,33,39.2 %,0,0
28,29,,Deportivo de La Coruña[31],5,84,58,23,15,20,48.3 %,0,0
29,30,,F. C. Schalke 04[32],7,82,58,23,13,22,47.1 %,0,0
30,31,,Spartak de Moscú[33],11,78,74,21,15,38,35.1 %,0,0
31,32,,Olympique de Marsella[34],9,77,67,22,11,34,38.3 %,1,0
32,33,,Rosenborg B. K.[35],11,75,74,19,18,37,33.8 %,0,0
33,34,,S. S. Lazio[36],5,62,44,17,11,16,47.0 %,0,0
34,35,,Rangers F. C.[37],10,59,62,12,23,27,33.3 %,0,0
35,36,,Werder Bremen[38],7,58,46,16,10,20,42.0 %,0,0
36,37,,Celtic F. C.[39],8,58,54,17,7,30,35.8 %,0,0
37,38,,R. S. C. Anderlecht[40],11,56,72,12,20,40,25.9 %,0,0
38,39,,F. C. Zenit[41],6,55,42,15,10,17,43.7 %,0,0
39,40,,Sparta de Praga[42],7,54,56,13,15,28,32.1 %,0,0
40,41,,Girondins de Burdeos[43],4,53,34,15,8,11,52.0 %,0,0
41,42,,FC Basel[44],6,53,46,14,11,21,38.4 %,0,0
42,43,,CSKA de Moscú[45],9,53,60,13,14,33,29.4 %,0,0
43,44,,A. C. F. Fiorentina[46],3,41,26,11,8,7,52.6 %,0,0
44,45,,Sporting de Lisboa[47],6,40,38,11,7,20,35.1 %,0,0
45,46,,Fenerbahçe S. K.[48],6,39,40,11,6,23,32.5 %,0,0
46,47,,Sevilla F. C.[49],3,38,22,12,2,8,57.6 %,0,0
47,48,,Feyenoord Rotterdam[50],4,35,30,8,11,11,38.9 %,0,0
48,49,,Lille O. S. C.[51],5,30,32,6,12,14,31.3 %,0,0
49,50,,Villarreal C. F.[52],3,30,28,6,12,10,35.7 %,0,0
